etf_code,date,datetime,minute_idx,fwd_ret_1m,horizon_min,pred_ret,pred_dir,confidence,signed_ret_bps,net_signed_ret_bps,fwd_ret_2m,fwd_ret_3m,fwd_ret_4m,fwd_ret_5m,breadth_diff_1,ret_oc,gap_abs,open30_flip_rate,open30_abs_bdiff_mean,open30_trendness,pred_sign,breadth_sign,breadth_align,conf_q,shock_q,flip_q,bdiff_q,trend_min,gap_q,conf_thr,shock_thr,flip_thr,bdiff_thr,gap_thr
510300.XSHG,2024-08-07,2024-08-07 13:39:00,158,,5,0.0013870832778936964,1.0,0.0014470710337442926,0.0,-6.0,,,,0.0,462.0,-0.0029197101033348618,0.012122764734233628,0.6,1655.9310344827586,0.25027522975272676,1.0,1.0,True,0.99,0.9,0.7,1.0,0.0,0.0,0.0014041704871495344,2085.8000000000006,0.6333333333333333,2903.9310344827586,
510300.XSHG,2024-08-09,2024-08-09 13:08:00,127,,5,0.0013789963182431776,1.0,0.0014388871266975555,29.368596733097057,23.368596733097057,,,,0.0029368596733097057,867.0,-0.002936859673309825,0.03035558274420681,0.6333333333333333,1800.5172413793102,2.6736406580158185e-15,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0013903548051032275,2198.6,0.6333333333333333,2115.0344827586205,
510300.XSHG,2024-08-20,2024-08-20 11:12:00,101,,5,0.0013396322294814348,1.0,0.0013984930892071948,0.0,-6.0,,,,0.0,66.0,-0.002936859673309825,0.04353372856198429,0.5,1247.896551724138,0.33333333333332943,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.001391767908272953,2201.0,0.6333333333333333,1979.1724137931035,
510300.XSHG,2024-08-20,2024-08-20 13:41:00,160,,5,0.0013825163575164254,1.0,0.0014432614632234172,0.0,-6.0,,,,0.0,799.0,-0.002945510229756803,0.03765139258269798,0.5,1247.896551724138,0.33333333333332943,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.001391767908272953,2201.0,0.6333333333333333,1979.1724137931035,
510300.XSHG,2024-08-20,2024-08-20 13:43:00,162,,5,0.001352014708556896,1.0,0.0014114196305617488,29.455102297567446,23.455102297567446,,,,0.0029455102297567446,53.0,-0.002945510229756803,0.04097605839769418,0.5,1247.896551724138,0.33333333333332943,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.001391767908272953,2201.0,0.6333333333333333,1979.1724137931035,
510300.XSHG,2024-08-21,2024-08-21 13:28:00,147,,5,0.001439087195693867,1.0,0.0015023769783435114,29.455102297567446,23.455102297567446,,,,0.0029455102297567446,1097.0,-0.002945510229756803,0.09920114637953137,0.6,1268.2068965517242,2.1317521282694076e-15,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0013933832163577256,2024.5999999999997,0.6333333333333333,1975.9724137931034,
510300.XSHG,2024-08-21,2024-08-21 13:38:00,157,,5,0.0013515788431382985,1.0,0.0014110200858038176,29.455102297567446,23.455102297567446,,,,0.0029455102297567446,191.0,-0.002945510229756803,0.032537728350913654,0.6,1268.2068965517242,2.1317521282694076e-15,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0013933832163577256,2024.5999999999997,0.6333333333333333,1975.9724137931034,
510300.XSHG,2024-08-21,2024-08-21 14:03:00,182,,5,0.0013792408874244732,1.0,0.0014398986823432232,29.455102297567446,23.455102297567446,,,,0.0029455102297567446,576.0,-0.002945510229756803,0.001573230284648001,0.6,1268.2068965517242,2.1317521282694076e-15,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0013933832163577256,2024.5999999999997,0.6333333333333333,1975.9724137931034,
510300.XSHG,2024-08-21,2024-08-21 14:33:00,212,,5,0.0013549905033156807,1.0,0.001414581787779742,29.455102297567446,23.455102297567446,,,,0.0029455102297567446,427.0,-0.002945510229756803,0.07997940645324653,0.6,1268.2068965517242,2.1317521282694076e-15,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.0013933832163577256,2024.5999999999997,0.6333333333333333,1975.9724137931034,
510300.XSHG,2024-09-02,2024-09-02 10:54:00,83,,5,0.001564662177902606,1.0,0.0016336126104877567,0.0,-6.0,,,,0.0,385.0,-0.0029806281381377893,0.3088468239395896,0.5333333333333333,1460.3793103448277,0.3333333333333201,1.0,1.0,True,0.99,0.9,0.7,0.9,0.0,0.0,0.001398890659952637,2024.5999999999997,0.6333333333333333,1933.6724137931033,
