signal,config,hold,th_long,scaled,ret,sharpe,dd,wr,avg_bps,trades,trades_per_day
deficit_resid_cw,h5_L1.0_LO_1x,5,1.0,False,-0.4054730039175385,-45.250931348280844,-0.4021525992488154,0.04,-51.84803363919054,1148,11.48
breadth_spread,h5_L0.7_LO_1x,5,0.7,False,-0.4208278728548349,-45.38356742288206,-0.418847283964496,0.02,-54.449256309014196,1176,11.76
neg_breadth_resid,h5_L0.7_LO_1x,5,0.7,False,-0.4085141951003852,-45.61368411810171,-0.40477025407832545,0.01,-52.35813333743317,1163,11.63
breadth_ew_resid_cw,h5_L1.0_LO_1x,5,1.0,False,-0.4034271494881988,-46.85646673555712,-0.4001131993380034,0.03,-51.507549259638026,1105,11.05
breadth_top30,h3_L0.5_LO_sc,3,0.5,True,-0.42464862995309294,-47.75087574363403,-0.4215073162832994,0.03,-55.10882633889769,1178,11.78
bot200_resid_cw,h5_L1.0_LO_1x,5,1.0,False,-0.4079258997853934,-48.50808416045531,-0.4038805385907156,0.03,-52.261147328914404,1125,11.25
breadth_ew_resid_cw,h5_L0.7_LO_1x,5,0.7,False,-0.4109545562453908,-48.80241913007389,-0.407791311987836,0.03,-52.771210381829476,1145,11.45
breadth_resid_cw,h5_L0.5_LO_1x,5,0.5,False,-0.4296797450482217,-49.27874651643441,-0.4255364558182383,0.01,-55.98272751485594,1277,12.77
breadth_bottom200,h5_L0.7_LO_1x,5,0.7,False,-0.41558293021948367,-50.543306863673386,-0.4122798400190215,0.03,-53.556409719297825,1220,12.2
breadth_deficit,h5_L0.5_LO_1x,5,0.5,False,-0.42640253874919,-50.59131666698929,-0.42335467747421196,0.03,-55.414003921580104,1290,12.9
breadth_cw_resid_ew,h5_L0.5_LO_1x,5,0.5,False,-0.42289139806521203,-51.29900250457104,-0.4199293199741416,0.02,-54.807843552454955,1284,12.84
bot200_resid_cw,h5_L0.5_LO_1x,5,0.5,False,-0.4251040025683013,-51.62379411061593,-0.4204668016804759,0.02,-55.18981399884259,1136,11.36
breadth_deficit,h5_L0.7_LO_1x,5,0.7,False,-0.4258381361592791,-51.70677141575506,-0.42225479945200406,0.02,-55.31686845563662,1207,12.07
bot200_resid_cw,h5_L0.7_LO_1x,5,0.7,False,-0.4166461353848341,-53.027632198892505,-0.41306049725778904,0.02,-53.73870311892234,1108,11.08
breadth_resid_cw,h5_L1.0_LO_1x,5,1.0,False,-0.41027628073045264,-53.380745605145364,-0.40699334971208634,0.02,-52.65909848142054,1156,11.56
breadth_top30,h5_L0.5_LO_1x,5,0.5,False,-0.4233107983570418,-54.80121609611692,-0.4189686262260355,0.02,-54.88178951121352,1374,13.74
breadth_resid_cw,h5_L0.7_LO_1x,5,0.7,False,-0.42262120892716415,-55.57937463652749,-0.4179303549975817,0.02,-54.763318736101766,1216,12.16
