label,hold,th_long_mult,th_short_mult,scaled,ret,ann,sharpe,dd,wr,avg_bps,trades,trades_per_day
h5_L0.5_S1.5_1x,5,0.5,1.5,False,24.297847531922812,2484.7774348899434,20.206959786585834,-0.01628879481598078,0.81,331.5065985907916,1748,17.48
h8_L0.7_S1.5_1x,8,0.7,1.5,False,21.728945766935436,1917.323678910324,20.095669721113563,-0.016805942579448008,0.82,320.2769089044989,1044,10.44
h5_L0.5_LO_sc,5,0.5,999.0,True,310.0645105357626,1078196.0160933982,19.782489371642868,-0.01860891809058296,0.79,601.2732819401763,1687,16.87
h5_L0.5_S2.0_sc,5,0.5,2.0,True,308.05790180543175,1061441.4236106586,19.77655650225359,-0.01860891809058307,0.79,600.5693308418817,1688,16.88
h8_L0.7_S1.5_sc,8,0.7,1.5,True,83.3618200111731,45842.01538672645,19.739387872623315,-0.01784008036694995,0.82,459.72251283817786,1040,10.4
h5_L0.7_S1.5_1x,5,0.7,1.5,False,11.121919794315538,418.0277672711846,19.327717959363902,-0.017381244178864552,0.86,254.67650624289237,1309,13.09
h5_L0.5_S1.5_sc,5,0.5,1.5,True,271.3378252391519,781557.1126603842,19.24795787284721,-0.01860891809058307,0.78,587.2803596143071,1691,16.91
h5_L0.7_LO_sc,5,0.7,999.0,True,36.98263552726805,6645.54474274837,18.736978475065655,-0.02160869882039873,0.84,375.009562426358,1248,12.48
h5_L0.7_S2.0_sc,5,0.7,2.0,True,36.72505839113056,6536.992348422929,18.69782737552835,-0.02160869882039862,0.84,374.3056113280634,1249,12.49
h5_L0.7_S1.5_sc,5,0.7,1.5,True,32.94530164389593,5062.919659158855,17.80003971452326,-0.02160869882039862,0.82,363.5465078406412,1260,12.6
h3_L0.7_LO_1x,3,0.7,999.0,False,4.133470996586433,51.3835458615206,17.450470968265325,-0.013505175437480976,0.84,165.9987496351309,1503,15.03
h3_L0.5_LO_sc,3,0.5,999.0,True,48.75300367955328,12772.288406143623,17.430179695811855,-0.0317611606660303,0.75,404.6619740906102,2017,20.17
h3_L0.5_S2.0_sc,3,0.5,2.0,True,48.75300367955328,12772.288406143623,17.430179695811855,-0.0317611606660303,0.75,404.6619740906102,2017,20.17
h3_L0.5_S1.5_sc,3,0.5,1.5,True,48.25092095892704,12462.578154488425,17.398096569963382,-0.03176116066603041,0.75,403.59609414766237,2044,20.44
h3_L0.7_S2.0_1x,3,0.7,2.0,False,4.11726535155889,50.98425314165487,17.39793475126593,-0.013505175437480976,0.84,165.67969173686672,1504,15.04
h3_L0.7_S1.5_1x,3,0.7,1.5,False,4.074308120714637,49.934487445174135,17.303648202919412,-0.013505175437480865,0.84,164.82315916085608,1534,15.34
h2_L0.5_S2.0_sc,2,0.5,2.0,True,27.333439150660475,3269.1245117609674,17.29923299287997,-0.013593563526573038,0.8,344.6313330268715,2437,24.37
h2_L0.5_LO_sc,2,0.5,999.0,True,27.333439150660475,3269.1245117609674,17.29923299287997,-0.013593563526573038,0.8,344.6313330268715,2437,24.37
h3_L0.5_S2.0_1x,3,0.5,2.0,False,7.380235204516003,170.50627847932546,17.25808761257599,-0.01448031422574092,0.78,216.73097165576203,2117,21.17
h3_L0.5_LO_1x,3,0.5,999.0,False,7.380235204516003,170.50627847932546,17.25808761257599,-0.01448031422574092,0.78,216.73097165576203,2117,21.17
h3_L0.5_S1.5_1x,3,0.5,1.5,False,7.2959820682595,166.36324479880025,17.239595409908038,-0.014480314225741031,0.78,215.68490024809074,2144,21.44
h2_L0.5_S1.5_sc,2,0.5,1.5,True,27.407507357223093,3289.850622430752,17.092371575550636,-0.013593563526573038,0.8,345.0136000182976,2475,24.75
h3_L0.7_LO_sc,3,0.7,999.0,True,10.03902338245058,333.1120821513889,17.088003625743845,-0.022568785784507384,0.82,245.46850486040202,1436,14.36
h3_L0.7_S2.0_sc,3,0.7,2.0,True,10.03902338245058,333.1120821513889,17.088003625743845,-0.022568785784507384,0.82,245.46850486040202,1436,14.36
h3_L0.7_S1.5_sc,3,0.7,1.5,True,9.936957182370074,325.68527439777057,16.954574576664697,-0.022568785784507273,0.82,244.53516905382813,1466,14.66
h8_L0.5_S1.0_sc,8,0.5,1.0,True,104.64536677533711,79015.55689881301,16.52813264424016,-0.0398641337543596,0.72,486.95507129427847,1417,14.17
