etf_code,date,datetime,minute_idx,fwd_ret_1m,horizon_min,pred_ret,pred_dir,confidence,signed_ret_bps,net_signed_ret_bps,fwd_ret_2m,fwd_ret_3m,fwd_ret_4m,fwd_ret_5m,breadth_diff_1,ret_oc,gap_abs,open30_flip_rate,open30_abs_bdiff_mean,open30_trendness,pred_sign,breadth_sign,breadth_align,diverge_now
510300.XSHG,2024-01-08,2024-01-08 10:13:00,42,,5,0.001340955654593208,1.0,0.001403489509863335,0.0,-6.0,,,,0.0,1217.0,-0.0029629651306569606,0.19009177295056728,0.5,1828.2068965517242,0.1114755186533426,1.0,1.0,True,True
510300.XSHG,2024-01-08,2024-01-08 14:03:00,182,,5,0.0013644028945606448,1.0,0.001428030183685639,59.52398527295352,53.52398527295352,,,,0.005952398527295352,155.0,-0.0029806281381377893,0.22833190864820713,0.5,1828.2068965517242,0.1114755186533426,1.0,1.0,True,True
510300.XSHG,2024-01-09,2024-01-09 13:07:00,126,,5,0.0013072101753168499,1.0,0.0013687522774106721,0.0,-6.0,,,,0.0,79.0,-0.002971770389157593,0.26993386037403644,0.4666666666666667,1844.4827586206898,0.14285714285713144,1.0,1.0,True,True
510300.XSHG,2024-01-12,2024-01-12 10:59:00,88,,5,0.0013283825015342283,1.0,0.0013894415442477406,0.0,-6.0,,,,0.0,623.0,-0.0029629651306569606,0.1727577644241577,0.6333333333333333,1815.2068965517242,0.3339950381981739,1.0,1.0,True,True
510300.XSHG,2024-01-16,2024-01-16 11:19:00,108,,5,0.0013056949874496087,1.0,0.001364793590010126,0.0,-6.0,,,,0.0,62.0,-0.0029806281381377893,0.3136860385285289,0.6333333333333333,1780.448275862069,0.3333333333333235,1.0,1.0,True,True
510300.XSHG,2024-01-19,2024-01-19 10:59:00,88,,5,0.0013217650295337265,1.0,0.001377522131507432,30.534374868902482,24.534374868902482,,,,0.003053437486890248,341.0,-0.0030534374868902317,0.34837737395960133,0.5,1763.7241379310344,0.3333333333333319,1.0,1.0,True,True
510300.XSHG,2024-01-19,2024-01-19 14:45:00,224,,5,0.0013934964044115677,1.0,0.0014522794100023395,30.534374868902482,24.534374868902482,,,,0.003053437486890248,497.0,-0.0030534374868902317,0.2884008941477628,0.5,1763.7241379310344,0.3333333333333319,1.0,1.0,True,True
510300.XSHG,2024-01-19,2024-01-19 14:54:00,233,,5,0.0014157645063458452,1.0,0.0014754868656058151,30.534374868902482,24.534374868902482,,,,0.003053437486890248,333.0,-0.0030534374868902317,0.1731519721563869,0.5,1763.7241379310344,0.3333333333333319,1.0,1.0,True,True
510300.XSHG,2024-01-23,2024-01-23 10:41:00,70,,5,0.0013148042745140395,1.0,0.0013678897168431044,31.007776782481855,25.007776782481855,,,,0.0031007776782481854,414.0,-0.0031007776782481593,0.3959584147952916,0.5333333333333333,2188.103448275862,0.166450068644923,1.0,1.0,True,True
510300.XSHG,2024-01-23,2024-01-23 14:43:00,222,,5,0.0013670996102808429,1.0,0.0014222964855317042,0.0,-6.0,,,,0.0,449.0,-0.0030911925696729694,0.30717928959418433,0.5333333333333333,2188.103448275862,0.166450068644923,1.0,1.0,True,True
510300.XSHG,2024-01-24,2024-01-24 10:06:00,35,,5,0.0014127267753391768,1.0,0.0014701847238471595,31.007776782481855,25.007776782481855,,,,0.0031007776782481854,670.0,-0.0031007776782481593,0.41332093503976086,0.6,1932.2758620689656,0.49961449437685324,1.0,1.0,True,True
510300.XSHG,2024-01-24,2024-01-24 11:23:00,112,,5,0.0013774185645652381,1.0,0.001433440469393741,31.104224143925517,25.104224143925517,,,,0.003110422414392552,150.0,-0.0031104224143925024,0.4875813275366167,0.6,1932.2758620689656,0.49961449437685324,1.0,1.0,True,True
