label,segment,min_consensus_short,n_trades,n_trade_days,win_rate,avg_net_bps,median_net_bps,p25_net_bps,p75_net_bps,first_half_avg_net_bps,second_half_avg_net_bps,sharpe_unlevered,max_drawdown_unlevered,if_initial_capital,if_ending_equity,if_total_return,if_annual_return,if_sharpe,if_max_drawdown,if_calmar,if_trade_days,if_avg_contracts_on_trade_day
consensus>=5,train,5,12,12,0.5833333333333334,-4.501712621092045,3.486632807820371,-25.642781011872003,8.78566600121596,-18.117872271167883,9.114447028983795,-0.6464084951952866,-0.01456376770773471,500000.0,472860.66462447774,-0.05427867075104453,-0.07228421243984728,-0.7848559648811207,-0.11838576277353585,-0.6105819715680019,12,3.0833333333333335
consensus>=5,oos,5,4,4,1.0,15.717752076410992,12.404726623140728,9.234867042038204,18.887611657513517,10.484301120015019,20.951203032806966,4.408732819496192,0.0,500000.0,525841.9215211108,0.05168384304222151,0.36710063103781065,4.471968020020404,0.0,,4,3.0
consensus>=6,train,6,5,5,0.8,2.036902748610051,6.049637015989525,2.9897020103332776,10.571592905712516,-12.614737097688081,11.80466264614214,0.32674239657581156,-0.002821917620570935,500000.0,505743.64994572505,0.011487299891450142,0.015474514179412813,0.476774208681796,-0.0213282495488869,0.7255407502591046,5,3.2
consensus>=6,oos,6,1,1,1.0,6.354228787349641,6.354228787349641,6.354228787349641,6.354228787349641,6.354228787349641,6.354228787349641,2.5235730725761787,0.0,500000.0,502635.79764328053,0.0052715952865609594,0.03316303772172069,2.52357307257618,0.0,,1,3.0
only:cs_sector_down,train,1,23,20,0.6086956521739131,1.0505328070413829,3.983563605307465,-22.96640754778236,16.13514547421766,-8.64464670404591,9.937780692204734,0.17827029094727276,-0.017827873649641113,500000.0,516136.77132538316,0.03227354265076632,0.043629477765856794,0.34135359778365093,-0.14279754367962483,0.3055338113080029,20,3.65
only:cs_sector_down,oos,1,7,6,0.7142857142857143,15.948522026675173,14.614373452680397,-0.1782243971649029,27.399702876707728,6.7742067865123365,22.829258456797298,2.896374336187731,-0.0006710677581679425,500000.0,548917.1094769136,0.09783421895382727,0.7845791471287076,2.867046028906668,-0.006591666678830266,119.02591337763702,6,3.8333333333333335
only:cs_bucket_top_neg,train,1,27,24,0.6296296296296297,6.907426887580834,3.983563605307465,-10.19736524539121,24.40265152943696,2.426290605536713,11.068482006621803,1.2445859893274718,-0.012459562383381972,500000.0,585988.161938862,0.17197632387772388,0.23782015289794534,1.2963871544867978,-0.10181921843173991,2.335709864610492,24,3.75
only:cs_bucket_top_neg,oos,1,7,6,0.8571428571428571,19.888366650696174,14.614373452680397,8.27465429047535,27.399702876707728,14.686893907144205,23.789471208360148,3.6877973754451383,-0.0006710677581679425,500000.0,560572.4966729366,0.12114499334587325,1.033095238718273,3.604119600314099,-0.006505934251489598,158.79275731717325,6,3.8333333333333335
only:cs_bucket_penetration,train,1,23,20,0.782608695652174,15.1948580218925,12.41689978404888,2.415093106512669,31.876754713091742,10.279588033062545,19.700522178319954,2.7421169569336654,-0.0052892275610741946,500000.0,666651.013851464,0.33330202770292816,0.47217514439524955,2.7638081908278664,-0.04470545025424466,10.561914525185166,20,3.85
only:cs_bucket_penetration,oos,1,7,6,0.7142857142857143,14.10609349984638,10.195079793601058,-0.1782243971649029,23.160849862346634,1.1949232218280226,23.789471208360148,2.613269029657124,-0.0006710677581679425,500000.0,540185.2676102411,0.08037053522048221,0.6155600358616917,2.62928113259104,-0.005072418699698766,121.35434243593647,6,3.5
only:cs_ew_negative,train,1,23,21,0.6086956521739131,5.330308283783579,3.983563605307465,-16.014887475309703,26.26686120037916,0.6811501849594375,9.592036541039047,0.9467609125248442,-0.012459562383381972,500000.0,555515.2602735538,0.1110305205471076,0.1520625317354698,1.0073449464303161,-0.10181921843173991,1.4934560889152104,21,3.4761904761904763
only:cs_ew_negative,oos,1,7,6,0.8571428571428571,19.888366650696174,14.614373452680397,8.27465429047535,27.399702876707728,14.686893907144205,23.789471208360148,3.6877973754451383,-0.0006710677581679425,500000.0,560572.4966729366,0.12114499334587325,1.033095238718273,3.604119600314099,-0.006505934251489598,158.79275731717325,6,3.8333333333333335
only:cs_ipg_velocity_up,train,1,24,21,0.7083333333333334,7.316897288393815,5.016600310648495,-7.339238321222362,20.024821214128984,3.685681269009249,10.94811330777838,1.4144672144619064,-0.009063206623483366,500000.0,573692.1021463145,0.147384204292629,0.20302666686910142,1.41971693509061,-0.07099032783730075,2.859920119462024,21,3.6666666666666665
only:cs_ipg_velocity_up,oos,1,6,6,0.8333333333333334,8.218928480542614,8.27465429047535,4.458353560955672,13.509550037910563,1.1949232218280226,15.242933739257204,3.0541346623874195,0.0,500000.0,520215.5983680507,0.040431196736101516,0.2788250700440704,3.055308206034523,0.0,,6,3.0
