stop,trail_act,trail_back,train_n,train_avg,train_win,train_total,train_dd,train_if_total,train_if_dd,oos_n,oos_avg,oos_win,oos_total,oos_dd,oos_if_total,oos_if_dd,oos_if_sharpe
18,0,0,39,-0.04613164326195674,0.48717948717948717,-0.00031676746055653293,-0.02199064659530603,-0.0255100295025672,-0.1904064918884374,9,11.384966157377606,0.6666666666666666,0.010210255388106493,-0.0024378526700539194,0.07701372429959163,-0.02424676400340553,1.828204220724852
18,20,10,39,-1.7428891581382235,0.48717948717948717,-0.006885481576578867,-0.02199064659530603,-0.0812162103495232,-0.1904064918884374,9,5.154752959737488,0.6666666666666666,0.004614607113376801,-0.0024378526700538083,0.03839642975803237,-0.019680256475187008,1.4527159441661641
18,25,12,39,-0.7111073879072719,0.48717948717948717,-0.00289355930872659,-0.02199064659530603,-0.06263898862364736,-0.1904064918884374,9,4.405268202070908,0.6666666666666666,0.003941459508610912,-0.0024378526700539194,0.03298003832163232,-0.019680256475187008,1.3334670242108475
18,30,15,39,-0.49330295229217963,0.48717948717948717,-0.0020472762326259053,-0.02199064659530603,-0.057830833736960185,-0.1904064918884374,9,4.899864743115981,0.6666666666666666,0.0043856799861115014,-0.0024378526700538083,0.03659606330900522,-0.019680256475187008,1.415123518881216
18,40,20,39,-0.04613164326195674,0.48717948717948717,-0.00031676746055653293,-0.02199064659530603,-0.0255100295025672,-0.1904064918884374,9,6.880455483430712,0.6666666666666666,0.006164541929902567,-0.0024378526700536973,0.05107628104689055,-0.019680256475187008,1.6698581154726218
25,0,0,38,2.1655040255470945,0.5526315789473685,0.008075423618099542,-0.021870746797561624,0.043832771462214204,-0.18288021134608923,9,17.4367157942472,0.7777777777777778,0.015734323159001473,-0.0006710677581679425,0.14362925610930444,-0.00639639834165362,3.0401912501447006
25,20,10,38,-0.484914178691057,0.5526315789473685,-0.001975934988521444,-0.021870746797561624,-0.03923485282112649,-0.18288021134608923,9,11.20650259660708,0.7777777777777778,0.01010807656067847,-0.0006710677581678315,0.08336093340210948,-0.00507392492617964,3.4436553708448367
25,25,12,38,0.5740197433880775,0.5526315789473685,0.002035721688592007,-0.021870746797561624,-0.004913375346570659,-0.18288021134608923,9,10.457017838940502,0.7777777777777778,0.009431248026156691,-0.0006710677581678315,0.07794454196570921,-0.005099577016996926,3.485234568183983
25,30,15,38,1.7065650504897591,0.5526315789473685,0.006330387483955979,-0.021870746797561624,0.030628488855438007,-0.18288021134608923,9,10.951614379985575,0.7777777777777778,0.009877897605925723,-0.0006710677581679425,0.08156056695308234,-0.005082422799886799,3.457608659597231
25,40,20,38,2.1655040255470945,0.5526315789473685,0.008075423618099542,-0.021870746797561624,0.043832771462214204,-0.18288021134608923,9,12.932205120300305,0.7777777777777778,0.011666486786081842,-0.0006710677581678315,0.10022487233771393,-0.006649838840164901,3.2428328539772235
35,0,0,38,4.629839571947193,0.631578947368421,0.017501578223576342,-0.01986934192166434,0.15821908069159618,-0.16469254867654382,9,17.4367157942472,0.7777777777777778,0.015734323159001473,-0.0006710677581679425,0.14362925610930444,-0.00639639834165362,3.0401912501447006
35,20,10,38,0.8808028628103939,0.631578947368421,0.0031727851315972444,-0.01986934192166434,0.033334555703146584,-0.16469254867654382,9,11.20650259660708,0.7777777777777778,0.01010807656067847,-0.0006710677581678315,0.08336093340210948,-0.00507392492617964,3.4436553708448367
35,25,12,38,1.9397367848895275,0.631578947368421,0.007205137599696876,-0.01986934192166434,0.057856557368980654,-0.16469254867654382,9,10.457017838940502,0.7777777777777778,0.009431248026156691,-0.0006710677581678315,0.07794454196570921,-0.005099577016996926,3.485234568183983
35,30,15,38,3.3089348909765253,0.631578947368421,0.012431193549897745,-0.01986934192166434,0.09328683695555795,-0.16469254867654382,9,10.951614379985575,0.7777777777777778,0.009877897605925723,-0.0006710677581679425,0.08156056695308234,-0.005082422799886799,3.457608659597231
35,40,20,38,3.5384923786522378,0.631578947368421,0.013304700972691208,-0.01986934192166434,0.10057366719682803,-0.16469254867654382,9,12.932205120300305,0.7777777777777778,0.011666486786081842,-0.0006710677581678315,0.10022487233771393,-0.006649838840164901,3.2428328539772235
