date,signal_datetime,entry_datetime,exit_datetime,signal_minute_idx,entry_minute_idx,exit_minute_idx,hold_bars,side,entry_px,exit_px,gross_bps,net_bps,state,DirScore_5,DirScore_10,GateScore_5,GateScore_10,Exhaustion_10,IPG_10,signal_side_5
2025-09-04,2025-09-04 10:59:00,2025-09-04 11:00:00,2025-09-04 11:30:00,88,89,119,30,-1,4.454,4.446,17.977532931710943,13.477532931710943,EMERGING_DOWN,-0.8964680630733405,-0.3041570772324953,1.138697495673916,0.9127727300211823,0.46075912417545056,1.1382068781077972,-1
2025-09-18,2025-09-18 14:17:00,2025-09-18 14:18:00,2025-09-18 14:48:00,196,197,227,30,-1,4.599,4.572,58.88142625222598,54.38142625222598,EMERGING_DOWN,-1.1109602119377482,-0.6270152932062494,1.367356373662981,-0.03706994695915629,0.45593572698054347,0.3001062449561012,-1
2025-09-22,2025-09-22 10:06:00,2025-09-22 10:07:00,2025-09-22 10:37:00,35,36,66,30,-1,4.595,4.603,-17.395090274540166,-21.895090274540166,EMERGING_DOWN,-0.8810117137102633,-0.453487378627614,0.9371282906505385,0.20201769773015105,0.33997519858806413,-0.20703904648496174,-1
2025-09-23,2025-09-23 13:12:00,2025-09-23 13:13:00,2025-09-23 13:43:00,131,132,162,30,-1,4.574,4.571,6.560962509820574,2.060962509820574,EMERGING_DOWN,-1.4477814877989494,-0.23770372104998638,1.35924080848891,0.42308459222402395,0.13047337636294845,0.7221214588984174,-1
2025-09-26,2025-09-26 10:50:00,2025-09-26 10:51:00,2025-09-26 11:21:00,79,80,110,30,-1,4.681,4.675,12.825995772832758,8.325995772832758,EMERGING_DOWN,-1.0387199917856718,-0.776766921351437,0.6398256192396006,0.1006474875920243,0.0,0.2797805116933001,-1
2025-10-14,2025-10-14 13:53:00,2025-10-14 13:54:00,2025-10-14 14:24:00,172,173,203,30,-1,4.667,4.638,62.33228134338664,57.83228134338664,EMERGING_DOWN,-0.7680289600500007,-1.3653483279586647,0.8758142095040717,0.2592271517427348,0.27623178757562256,0.029766297499779215,-1
2025-10-16,2025-10-16 13:06:00,2025-10-16 13:07:00,2025-10-16 13:37:00,125,126,156,30,-1,4.717,4.713,8.483563605307465,3.983563605307465,EMERGING_DOWN,-0.8757721786313085,-0.28432978234131046,0.964496846999078,1.929542935689016,0.0,2.3102354199468023,-1
2025-10-20,2025-10-20 13:12:00,2025-10-20 13:13:00,2025-10-20 13:43:00,131,132,162,30,-1,4.648,4.641,15.071592905712516,10.571592905712516,EMERGING_DOWN,-1.2863619899185226,-1.0838031425791996,1.2998718675183434,0.4207589746526901,0.0,1.242641419197285,-1
2025-10-20,2025-10-20 13:51:00,2025-10-20 13:52:00,2025-10-20 14:22:00,170,171,201,30,-1,4.644,4.628,34.51254504214954,30.01254504214954,EMERGING_DOWN,-1.0166070419490172,-0.5954787836150692,1.7410981425267449,0.030602587571510773,0.0,0.3461827361688711,-1
2025-10-23,2025-10-23 10:17:00,2025-10-23 10:18:00,2025-10-23 10:48:00,46,47,77,30,-1,4.648,4.667,-40.794474180683764,-45.294474180683764,EMERGING_DOWN,-0.8153221245997467,-0.2949875701562082,0.7843667062369678,-0.23142486771150694,0.33125503243556986,0.6072832549758321,-1
2025-11-17,2025-11-17 13:59:00,2025-11-17 14:00:00,2025-11-17 14:30:00,178,179,209,30,-1,4.7,4.703,-6.380942468980873,-10.880942468980873,EMERGING_DOWN,-1.3000753912352698,-1.4619329397953955,1.0874805644463366,0.46997665720751514,0.0,0.09528998591501392,-1
2025-11-20,2025-11-20 10:01:00,2025-11-20 10:02:00,2025-11-20 10:32:00,30,31,61,30,-1,4.716,4.698,38.240964384033944,33.740964384033944,EMERGING_DOWN,-1.192640454328011,-1.1612749104683227,0.7171417949199334,0.1121339309766887,0.2727417246279028,0.10947366810204318,-1
2025-11-25,2025-11-25 11:12:00,2025-11-25 11:13:00,2025-11-25 13:13:00,101,102,132,30,-1,4.613,4.6,28.2210108063428,23.7210108063428,EMERGING_DOWN,-0.8125604313574678,-0.3635038493607475,1.1787611353039555,2.1523372153421696,0.0,0.9517335909501368,-1
2025-11-27,2025-11-27 10:36:00,2025-11-27 10:37:00,2025-11-27 11:07:00,65,66,96,30,-1,4.659,4.649,21.486901262120227,16.986901262120227,EMERGING_DOWN,-0.8546090996700989,-0.7110195863970841,2.1097720011847736,0.17137595838560293,0.0,0.1438949907952098,-1
2025-12-22,2025-12-22 10:25:00,2025-12-22 10:26:00,2025-12-22 10:56:00,54,55,85,30,-1,4.726,4.722,8.46740101394796,3.96740101394796,EMERGING_DOWN,-0.8182979248848328,-0.021049780050033495,0.9982444270461414,0.036531218812772964,0.2364876289643781,0.751810207193957,-1
2025-12-22,2025-12-22 14:26:00,2025-12-22 14:27:00,2025-12-22 14:57:00,205,206,236,30,-1,4.733,4.73,6.3404842026920605,1.8404842026920605,EMERGING_DOWN,-1.7672569739285056,-1.4865569607455342,0.6501061816175732,0.4832799769192909,0.0,0.8822953738752286,-1
2025-12-23,2025-12-23 13:57:00,2025-12-23 13:58:00,2025-12-23 14:28:00,176,177,207,30,-1,4.742,4.737,10.549637015989525,6.049637015989525,EMERGING_DOWN,-1.1151450349858014,-0.13482097890502873,0.9621111438342022,1.9922990280764379,0.0,2.226638325017648,-1
2025-12-25,2025-12-25 13:08:00,2025-12-25 13:09:00,2025-12-25 13:39:00,127,128,158,30,-1,4.754,4.767,-27.30807284686506,-31.80807284686506,EMERGING_DOWN,-1.7884384265750672,-1.7875858587290767,0.7026747305352209,-0.6104982342096875,0.6126911835030573,-0.14350364596116566,-1
2026-01-09,2026-01-09 10:38:00,2026-01-09 10:39:00,2026-01-09 11:09:00,67,68,98,30,-1,4.892,4.863,59.456864032771115,54.956864032771115,EMERGING_DOWN,-0.8161599081410923,-1.0204633179644955,0.8672165518244417,0.353151196452746,0.1824641699517771,-0.11744706531614146,-1
2026-01-13,2026-01-13 10:03:00,2026-01-13 10:04:00,2026-01-13 10:34:00,32,33,63,30,-1,4.943,4.913,60.876811383109676,56.376811383109676,EMERGING_DOWN,-0.9526080177649303,-0.20459058847057826,0.6271506566019208,-0.4509639112906983,0.42412805673651893,0.03640838007169955,-1
2026-01-13,2026-01-13 11:24:00,2026-01-13 11:25:00,2026-01-13 13:25:00,113,114,144,30,-1,4.918,4.898,40.749852640249586,36.249852640249586,EMERGING_DOWN,-0.835752174419842,-1.4114814638514008,1.0119141719211855,0.48308194022891426,0.0,0.8017255195830815,-1
2026-01-20,2026-01-20 13:52:00,2026-01-20 13:53:00,2026-01-20 14:23:00,171,172,202,30,-1,4.728,4.717,23.292758016724378,18.792758016724378,EMERGING_DOWN,-1.1698502097729484,-0.8335329244756033,0.895638204991933,0.5152330435589129,0.1139055780808269,0.09449080198701343,-1
2026-01-22,2026-01-22 10:07:00,2026-01-22 10:08:00,2026-01-22 10:38:00,36,37,67,30,-1,4.746,4.714,67.65353499632418,63.15353499632418,EMERGING_DOWN,-1.223098784100076,-1.6386158196981393,1.550827144765805,0.4079711834316341,0.0,0.5822046919806605,-1
2026-01-27,2026-01-27 11:00:00,2026-01-27 11:01:00,2026-01-27 13:01:00,89,90,120,30,-1,4.733,4.725,16.91689978404888,12.41689978404888,EMERGING_DOWN,-0.7988112754082628,-0.2611594380426592,1.2887853872351618,1.0202289946305454,0.0,0.5073416160996433,-1
2026-01-28,2026-01-28 14:20:00,2026-01-28 14:21:00,2026-01-28 14:51:00,199,200,230,30,-1,4.735,4.717,38.08722335917077,33.58722335917077,EMERGING_DOWN,-0.8829671437624976,-0.25593654556704465,0.6156286723814809,-0.622521588256864,0.4437884439315971,-0.24592028565759844,-1
2026-02-10,2026-02-10 10:08:00,2026-02-10 10:09:00,2026-02-10 10:39:00,37,38,68,30,-1,4.731,4.729,4.228329872722536,-0.2716701272774644,EMERGING_DOWN,-0.7553742871975171,-0.49426019128994303,0.6022859507089875,0.0196450894504984,0.0010466376581464438,0.05026195573156761,-1
2026-02-26,2026-02-26 13:51:00,2026-02-26 13:52:00,2026-02-26 14:22:00,170,171,201,30,-1,4.731,4.725,12.690357033050441,8.190357033050441,EMERGING_DOWN,-1.0151188015445547,-0.3669464077646675,0.6914301380172418,-0.0027874430424994663,0.08853846080753261,0.3196522938376722,-1
2026-03-03,2026-03-03 10:06:00,2026-03-03 10:07:00,2026-03-03 10:37:00,35,36,66,30,-1,4.696,4.712,-34.01363823490261,-38.51363823490261,EMERGING_DOWN,-1.047589332700142,-0.322061829839274,1.4571376312665107,1.5689870008067617,0.0,2.1210440142899554,-1
2026-03-03,2026-03-03 13:08:00,2026-03-03 13:09:00,2026-03-03 13:39:00,127,128,158,30,-1,4.731,4.71,44.486886206846506,39.986886206846506,EMERGING_DOWN,-0.7683612747884344,-0.10321091055740877,0.8224219500211531,0.0061295922343508474,0.0,0.658596380849104,-1
