label,hold,th_long_mult,th_short_mult,scaled,ret,sharpe,dd,wr,avg_bps,trades,trades_per_day
h3_L0.7_S1.5_1x,3,0.7,1.5,False,1.2957432480840785,11.644012325742787,-0.01959668967682171,0.75,84.07590853982242,1462,14.62
h8_L1.0_S1.5_sc,8,1.0,1.5,True,2.643204796687914,11.430622706951988,-0.020728008232368755,0.76,131.68645548527454,548,5.48
h8_L0.5_S1.0_1x,8,0.5,1.0,False,3.233509496437539,11.259519475873754,-0.047080106084619544,0.66,147.38641386256796,1321,13.21
h8_L1.0_S1.5_1x,8,1.0,1.5,False,1.7990851139992392,11.207190882254777,-0.019605989932710677,0.77,104.49258124754098,561,5.61
h2_L0.5_LO_sc,2,0.5,999.0,True,2.45745646444448,9.566855041185526,-0.04002086174081454,0.58,126.9075130731104,1906,19.06
h2_L0.5_S1.5_sc,2,0.5,1.5,True,2.4361563494288383,9.545419161985569,-0.04002086174081443,0.58,126.2703301549961,1918,19.18
h5_L1.0_LO_1x,5,1.0,999.0,False,0.8770396026842493,9.46916991009072,-0.02517684555046029,0.74,63.70847116560172,601,6.01
h5_L1.0_LO_sc,5,1.0,999.0,True,1.1872063166459879,9.277655449436978,-0.02704770794582667,0.74,79.43690785967539,598,5.98
h5_L0.5_S1.0_1x,5,0.5,1.0,False,1.7062568559983795,9.066330325394397,-0.033660918604966006,0.61,101.54050531236474,1772,17.72
h5_L1.0_S1.5_sc,5,1.0,1.5,True,1.1294994941505752,8.892144612121166,-0.02597429298554088,0.71,76.75695440854504,622,6.22
h5_L1.0_S1.5_1x,5,1.0,1.5,False,0.8022407643683862,8.748111681104682,-0.024116609258340138,0.7,59.63158170795512,620,6.2
h2_L0.7_LO_sc,2,0.7,999.0,True,1.056829049704164,8.645660996979592,-0.025701612425181986,0.63,73.23385549376788,1402,14.02
h2_L0.7_S1.5_sc,2,0.7,1.5,True,1.0388431829725806,8.588181756427879,-0.025418578744990206,0.63,72.33954871389409,1429,14.29
h3_L0.5_S1.0_sc,3,0.5,1.0,True,2.6497507399807767,8.586547623063367,-0.041032384017468226,0.56,133.11746434142984,1971,19.71
h5_L0.7_S1.0_sc,5,0.7,1.0,True,1.8046718626739402,8.36196091549825,-0.04350246971491689,0.6,105.5508230537852,1356,13.56
h8_L0.7_S1.0_sc,8,0.7,1.0,True,2.0896404123561014,7.586229373481741,-0.054932804961719706,0.51,116.21658962200456,1006,10.06
h3_L1.0_LO_sc,3,1.0,999.0,True,0.5043918417758422,6.878365070949159,-0.015857827870015884,0.69,41.35345117388037,660,6.6
h2_L0.5_LO_1x,2,0.5,999.0,False,0.6022361319973057,6.862539722113165,-0.04263756966009957,0.56,47.83473901302215,2099,20.99
