etf_code,date,datetime,minute_idx,fwd_ret_1m,horizon_min,pred_ret,pred_dir,confidence,signed_ret_bps,net_signed_ret_bps,fwd_ret_2m,fwd_ret_3m,fwd_ret_4m,fwd_ret_5m,breadth_diff_1,ret_oc,gap_abs,open30_flip_rate,open30_abs_bdiff_mean,open30_trendness,pred_sign,breadth_sign,breadth_align,conf_q,shock_q,flip_q,bdiff_q,trend_min,gap_q,conf_thr,shock_thr,flip_thr,bdiff_thr,gap_thr
510300.XSHG,2024-01-24,2024-01-24 11:23:00,112,,5,0.0013774185645652381,1.0,0.001433440469393741,31.104224143925517,25.104224143925517,,,,0.003110422414392552,150.0,-0.0031104224143925024,0.4875813275366167,0.6,1932.2758620689656,0.49961449437685324,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013982928262742335,2083.1000000000004,0.6333333333333333,2221.275862068965,0.08344757832315895
510300.XSHG,2024-01-24,2024-01-24 13:25:00,144,,5,0.0014411948320659017,1.0,0.0014998106238073249,62.500203451713254,56.500203451713254,,,,0.006250020345171326,641.0,-0.0031298930089277044,0.12836138663050006,0.6,1932.2758620689656,0.49961449437685324,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0013982928262742335,2083.1000000000004,0.6333333333333333,2221.275862068965,0.08344757832315895
510300.XSHG,2024-02-02,2024-02-02 10:11:00,40,,5,0.0014241803263652319,1.0,0.001480827751875725,0.0,-6.0,,,,0.0,1245.0,-0.0031007776782481593,0.09366709695446486,0.6333333333333333,2104.896551724138,0.3333333333333296,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0014244485996821005,1977.9999999999995,0.6599999999999999,2474.241379310345,0.090087660881956
510300.XSHG,2024-02-02,2024-02-02 11:18:00,107,,5,0.0014223066821397983,1.0,0.0014788795825921028,31.201273362434566,25.201273362434566,,,,0.0031201273362434566,139.0,-0.0031201273362435225,0.43997487756091613,0.6333333333333333,2104.896551724138,0.3333333333333296,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0014244485996821005,1977.9999999999995,0.6599999999999999,2474.241379310345,0.090087660881956
510300.XSHG,2024-02-02,2024-02-02 14:52:00,231,,5,0.0014576302734159493,1.0,0.0015156081859081867,31.397200046676247,25.397200046676247,,,,0.0031397200046676247,614.0,-0.003139720004667641,0.2152736002695733,0.6333333333333333,2104.896551724138,0.3333333333333296,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0014244485996821005,1977.9999999999995,0.6599999999999999,2474.241379310345,0.090087660881956
510300.XSHG,2024-02-06,2024-02-06 10:57:00,86,,5,0.0014316612468876445,1.0,0.0014816300354830612,0.0,-6.0,,,,0.0,336.0,-0.0030721990369701403,0.41710409871033644,0.5333333333333333,2204.9655172413795,0.2949778728193409,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0014442989033584739,1782.3999999999999,0.6666666666666666,2903.9310344827586,0.1013651101559746
510300.XSHG,2024-02-21,2024-02-21 14:50:00,229,,5,0.0014106476951014795,1.0,0.0014564237554499965,0.0,-6.0,,,,0.0,463.0,-0.0028943580263644146,0.29277824820038323,0.5666666666666667,1397.4827586206898,0.20023522527286483,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.001451971848972879,1788.0,0.6666666666666666,2903.9310344827586,0.1050069024430773
510300.XSHG,2024-02-22,2024-02-22 10:08:00,37,,5,0.0014264103167830296,1.0,0.0014723315166457068,0.0,-6.0,,,,0.0,1041.0,-0.0028943580263644146,0.4486427479066687,0.4,1732.3103448275863,0.1432114078092757,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0014523232217915727,1793.8000000000002,0.6666666666666666,2903.9310344827586,0.1050069024430773
510300.XSHG,2024-02-28,2024-02-28 10:08:00,37,,5,0.0014196887267996106,1.0,0.0014652922788958719,28.61232281032195,22.61232281032195,,,,0.002861232281032195,238.0,-0.0028612322810321234,0.6637401772726093,0.5666666666666667,1515.5172413793102,0.14262328594976453,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.0014546621696783948,1793.8000000000002,0.6666666666666666,2903.9310344827586,0.11083163275593821
510300.XSHG,2024-09-02,2024-09-02 10:54:00,83,,5,0.001564662177902606,1.0,0.0016336126104877567,0.0,-6.0,,,,0.0,385.0,-0.0029806281381377893,0.3088468239395896,0.5333333333333333,1460.3793103448277,0.3333333333333201,1.0,1.0,True,0.99,0.9,0.7,0.9,0.1,0.5,0.001398890659952637,2024.5999999999997,0.6333333333333333,1933.6724137931033,0.057906836570943795
