date,equity,day_pnl,contracts
2025-09-17,455758.31819928903,0.0,0
2025-09-18,478267.3343393479,22509.016140058855,3
2025-09-19,478267.3343393479,0.0,0
2025-09-22,478267.3343393479,0.0,0
2025-09-23,478267.3343393479,0.0,0
2025-09-24,478267.3343393479,0.0,0
2025-09-25,478267.3343393479,0.0,0
2025-09-26,478267.3343393479,0.0,0
2025-09-29,478267.3343393479,0.0,0
2025-09-30,478267.3343393479,0.0,0
2025-10-09,478267.3343393479,0.0,0
2025-10-10,478267.3343393479,0.0,0
2025-10-13,478267.3343393479,0.0,0
2025-10-14,502558.6274720106,24291.29313266269,3
2025-10-15,502558.6274720106,0.0,0
2025-10-16,504249.76972937176,1691.142257361178,3
2025-10-17,504249.76972937176,0.0,0
2025-10-20,508672.07847368944,4422.308744317659,3
2025-10-21,508672.07847368944,0.0,0
2025-10-22,508672.07847368944,0.0,0
2025-10-23,489724.4940344258,-18947.58443926363,3
2025-10-24,489724.4940344258,0.0,0
2025-10-27,489724.4940344258,0.0,0
2025-10-28,489724.4940344258,0.0,0
2025-10-29,489724.4940344258,0.0,0
2025-10-30,489724.4940344258,0.0,0
2025-10-31,489724.4940344258,0.0,0
2025-11-03,489724.4940344258,0.0,0
2025-11-04,489724.4940344258,0.0,0
2025-11-05,489724.4940344258,0.0,0
2025-11-06,489724.4940344258,0.0,0
2025-11-07,489724.4940344258,0.0,0
2025-11-10,489724.4940344258,0.0,0
2025-11-11,489724.4940344258,0.0,0
2025-11-12,489724.4940344258,0.0,0
2025-11-13,489724.4940344258,0.0,0
2025-11-14,489724.4940344258,0.0,0
2025-11-17,485121.8553700469,-4602.638664378909,3
2025-11-18,485121.8553700469,0.0,0
2025-11-19,485121.8553700469,0.0,0
2025-11-20,499442.8702932063,14321.014923159368,3
2025-11-21,499442.8702932063,0.0,0
2025-11-24,499442.8702932063,0.0,0
2025-11-25,499442.8702932063,0.0,0
2025-11-26,499442.8702932063,0.0,0
2025-11-27,499442.8702932063,0.0,0
2025-11-28,499442.8702932063,0.0,0
2025-12-01,499442.8702932063,0.0,0
2025-12-02,499442.8702932063,0.0,0
2025-12-03,499442.8702932063,0.0,0
2025-12-04,499442.8702932063,0.0,0
2025-12-05,499442.8702932063,0.0,0
2025-12-08,499442.8702932063,0.0,0
2025-12-09,499442.8702932063,0.0,0
2025-12-10,499442.8702932063,0.0,0
2025-12-11,499442.8702932063,0.0,0
2025-12-12,499442.8702932063,0.0,0
2025-12-15,499442.8702932063,0.0,0
2025-12-16,499442.8702932063,0.0,0
2025-12-17,499442.8702932063,0.0,0
2025-12-18,499442.8702932063,0.0,0
2025-12-19,499442.8702932063,0.0,0
2025-12-22,499442.8702932063,0.0,0
2025-12-23,502024.7343788903,2581.8640856840093,3
2025-12-24,502024.7343788903,0.0,0
2025-12-25,502024.7343788903,0.0,0
2025-12-26,502024.7343788903,0.0,0
2025-12-29,502024.7343788903,0.0,0
2025-12-30,502024.7343788903,0.0,0
2025-12-31,502024.7343788903,0.0,0
2026-01-05,502024.7343788903,0.0,0
2026-01-06,502024.7343788903,0.0,0
2026-01-07,502024.7343788903,0.0,0
2026-01-08,502024.7343788903,0.0,0
2026-01-09,502024.7343788903,0.0,0
2026-01-12,502024.7343788903,0.0,0
2026-01-13,543149.9962345216,41125.26185563127,6
2026-01-14,543149.9962345216,0.0,0
2026-01-15,543149.9962345216,0.0,0
2026-01-16,543149.9962345216,0.0,0
2026-01-19,543149.9962345216,0.0,0
2026-01-20,551146.6906257982,7996.694391276557,3
2026-01-21,551146.6906257982,0.0,0
2026-01-22,551146.6906257982,0.0,0
2026-01-23,551146.6906257982,0.0,0
2026-01-26,551146.6906257982,0.0,0
2026-01-27,551146.6906257982,0.0,0
2026-01-28,551146.6906257982,0.0,0
2026-01-29,551146.6906257982,0.0,0
2026-01-30,551146.6906257982,0.0,0
2026-02-02,551146.6906257982,0.0,0
2026-02-03,551146.6906257982,0.0,0
2026-02-04,551146.6906257982,0.0,0
2026-02-05,551146.6906257982,0.0,0
2026-02-06,551146.6906257982,0.0,0
2026-02-09,551146.6906257982,0.0,0
2026-02-10,551146.6906257982,0.0,0
2026-02-11,551146.6906257982,0.0,0
2026-02-12,551146.6906257982,0.0,0
2026-02-13,551146.6906257982,0.0,0
2026-02-24,551146.6906257982,0.0,0
2026-02-25,551146.6906257982,0.0,0
2026-02-26,554634.0627469007,3487.3721211025477,3
2026-02-27,554634.0627469007,0.0,0
2026-03-02,554634.0627469007,0.0,0
2026-03-03,535541.5088274273,-19092.55391947352,6
2026-03-04,535541.5088274273,0.0,0
2026-03-05,535541.5088274273,0.0,0
