trade_no,date,entry_time,exit_time,direction,size,entry_signal_z,exit_signal_z,entry_price,exit_price,gross_bps,cost_bps,net_bps,result,cum_pnl_bps,approx_pnl_yuan,index_from_open_bps
30,2026-01-19,11:14,11:15,LONG,2.95,1.47,0.21,1.064307,1.065803,14.06,4.5,36.94,WIN,121.01,4322.0,658.03
31,2026-01-19,11:23,11:24,SHORT,1.1,-1.1,-0.03,1.064389,1.064758,-3.47,4.5,-8.3,LOSS,112.71,-971.0,647.58
32,2026-01-19,11:26,11:27,SHORT,1.07,-1.07,0.62,1.064825,1.065538,-6.7,4.5,-11.7,LOSS,101.01,-1369.0,655.38
33,2026-01-19,11:27,11:28,LONG,1.24,0.62,-0.49,1.065538,1.065244,-2.76,4.5,-7.94,LOSS,93.07,-929.0,652.44
34,2026-01-19,13:06,13:07,LONG,1.21,0.6,-0.78,1.070867,1.07067,-1.84,4.5,-6.72,LOSS,86.35,-787.0,706.7
35,2026-01-19,13:08,13:09,LONG,1.08,0.54,0.4,1.072686,1.074962,21.22,4.5,18.36,WIN,104.7,2148.0,749.62
36,2026-01-19,13:10,13:11,LONG,1.16,0.58,-0.5,1.076979,1.077107,1.18,4.5,-3.13,LOSS,101.57,-366.0,771.07
37,2026-01-19,13:14,13:15,LONG,1.6,0.8,0.51,1.080175,1.081197,9.46,4.5,10.68,WIN,112.25,1249.0,811.97
38,2026-01-19,13:15,13:16,LONG,1.01,0.51,0.33,1.081197,1.081672,4.4,4.5,-0.04,LOSS,112.21,-5.0,816.72
39,2026-01-19,13:18,13:19,LONG,1.16,0.58,-0.37,1.083318,1.084259,8.69,4.5,5.59,WIN,117.8,654.0,842.59
40,2026-01-19,13:26,13:27,LONG,1.6,0.8,-0.32,1.088253,1.088497,2.24,4.5,-0.92,LOSS,116.88,-108.0,884.97
41,2026-01-19,13:31,13:32,LONG,1.78,0.89,0.07,1.088453,1.088727,2.52,4.5,-0.02,LOSS,116.86,-2.0,887.27
42,2026-01-19,13:34,13:35,LONG,1.14,0.57,-0.8,1.089796,1.087663,-19.56,4.5,-26.78,LOSS,90.08,-3133.0,876.63
43,2026-01-19,13:36,13:37,SHORT,1.06,-1.06,0.41,1.086169,1.086388,-2.02,4.5,-6.64,LOSS,83.45,-777.0,863.88
44,2026-01-19,13:38,13:39,SHORT,1.31,-1.31,1.43,1.08486,1.086854,-18.38,4.5,-28.62,LOSS,54.82,-3349.0,868.54
45,2026-01-19,13:39,13:40,LONG,2.87,1.43,-1.12,1.086854,1.086002,-7.84,4.5,-26.99,LOSS,27.83,-3158.0,860.02
46,2026-01-19,13:40,13:41,SHORT,1.12,-1.12,-0.36,1.086002,1.086418,-3.84,4.5,-8.8,LOSS,19.03,-1030.0,864.18
47,2026-01-19,13:45,13:46,SHORT,1.19,-1.19,0.62,1.08862,1.089486,-7.96,4.5,-13.98,LOSS,5.05,-1635.0,894.86
48,2026-01-19,13:46,13:47,LONG,1.24,0.62,-0.74,1.089486,1.089188,-2.74,4.5,-7.91,LOSS,-2.86,-925.0,891.88
49,2026-01-19,13:48,13:49,LONG,2.02,1.01,-0.98,1.090034,1.089159,-8.03,4.5,-20.73,LOSS,-23.59,-2426.0,891.59
50,2026-01-19,13:50,13:51,SHORT,1.13,-1.13,-1.41,1.088704,1.087549,10.61,4.5,7.5,WIN,-16.09,877.0,875.49
51,2026-01-19,13:51,13:52,SHORT,1.41,-1.41,-1.35,1.087549,1.086998,5.07,4.5,2.67,WIN,-13.43,312.0,869.98
52,2026-01-19,13:52,13:53,SHORT,1.35,-1.35,-0.76,1.086998,1.08655,4.12,4.5,1.07,WIN,-12.36,125.0,865.5
53,2026-01-19,13:55,13:56,LONG,1.66,0.83,1.31,1.086245,1.087595,12.43,4.5,16.17,WIN,3.82,1892.0,875.95
54,2026-01-19,13:56,13:57,LONG,2.62,1.31,-1.04,1.087595,1.086469,-10.36,4.5,-31.69,LOSS,-27.88,-3708.0,864.69
55,2026-01-19,13:57,13:58,SHORT,1.04,-1.04,1.61,1.086469,1.08762,-10.6,4.5,-15.49,LOSS,-43.37,-1813.0,876.2
